DATE,PRCP,TMAX,TMIN,RAIN
Dec-08,0.16,55.0,50.0,TRUE
Dec-08,0.03,51.0,43.0,TRUE
Dec-08,0.0,49.0,42.0,FALSE
Dec-08,0.0,49.0,37.0,FALSE
Dec-08,0.0,48.0,34.0,FALSE
Dec-08,0.0,50.0,38.0,FALSE
Dec-08,0.09,49.0,43.0,TRUE
Dec-08,0.0,45.0,39.0,FALSE
Dec-08,0.06,46.0,42.0,TRUE
Dec-08,0.05,48.0,44.0,TRUE
Dec-08,0.0,45.0,38.0,FALSE
Dec-08,0.73,45.0,34.0,TRUE
Dec-08,0.34,40.0,32.0,TRUE
Dec-08,0.06,32.0,22.0,TRUE
Dec-08,0.0,30.0,19.0,FALSE
Dec-08,0.0,31.0,20.0,FALSE
Dec-08,0.05,36.0,29.0,TRUE
Dec-08,0.18,35.0,25.0,TRUE
Dec-08,0.0,27.0,20.0,FALSE
Dec-08,0.16,26.0,14.0,TRUE
Dec-08,0.27,31.0,24.0,TRUE
Dec-08,0.02,34.0,27.0,TRUE
Dec-08,0.0,35.0,29.0,FALSE
Dec-08,0.44,38.0,30.0,TRUE
Dec-08,0.2,36.0,33.0,TRUE
Dec-08,0.15,38.0,32.0,TRUE
Dec-08,0.29,44.0,37.0,TRUE
Dec-08,0.35,44.0,38.0,TRUE
Dec-08,0.26,42.0,36.0,TRUE
Dec-08,0.12,43.0,34.0,TRUE
Dec-08,0.09,44.0,37.0,TRUE
Jan-09,0.71,46.0,36.0,TRUE
Jan-09,0.12,38.0,33.0,TRUE
Jan-09,0.0,40.0,32.0,FALSE
Jan-09,0.57,38.0,30.0,TRUE
Jan-09,0.04,46.0,34.0,TRUE
Jan-09,1.22,53.0,42.0,TRUE
Jan-09,2.29,52.0,50.0,TRUE
Jan-09,0.03,50.0,37.0,TRUE
Jan-09,0.0,43.0,36.0,FALSE
Jan-09,0.14,44.0,39.0,TRUE
Jan-09,0.03,48.0,44.0,TRUE
Jan-09,0.08,49.0,46.0,TRUE
Jan-09,0.0,46.0,40.0,FALSE
Jan-09,0.0,42.0,36.0,FALSE
Jan-09,0.0,42.0,35.0,FALSE
Jan-09,0.0,37.0,32.0,FALSE
Jan-09,0.0,44.0,32.0,FALSE
Jan-09,0.0,51.0,30.0,FALSE
Jan-09,0.0,42.0,29.0,FALSE
Jan-09,0.0,39.0,30.0,FALSE
Jan-09,0.0,40.0,31.0,FALSE
Jan-09,0.0,39.0,32.0,FALSE
Jan-09,0.0,41.0,31.0,FALSE
Jan-09,0.04,41.0,29.0,TRUE
Jan-09,0.02,35.0,29.0,TRUE
Jan-09,0.0,39.0,25.0,FALSE
Jan-09,0.09,42.0,30.0,TRUE
Jan-09,0.0,46.0,37.0,FALSE
Jan-09,0.0,47.0,35.0,FALSE
Jan-09,0.0,49.0,31.0,FALSE
Jan-09,0.02,45.0,34.0,TRUE
Feb-09,0.0,43.0,33.0,FALSE
Feb-09,0.0,52.0,38.0,FALSE
Feb-09,0.0,55.0,32.0,FALSE
Feb-09,0.0,63.0,36.0,FALSE
Feb-09,0.01,49.0,38.0,TRUE
Feb-09,0.04,44.0,38.0,TRUE
Feb-09,0.0,42.0,32.0,FALSE
Feb-09,0.01,44.0,32.0,TRUE
Feb-09,0.06,41.0,33.0,TRUE
Feb-09,0.24,39.0,31.0,TRUE
Feb-09,0.0,46.0,32.0,FALSE
Feb-09,0.0,46.0,31.0,FALSE
Feb-09,0.0,45.0,34.0,FALSE
Feb-09,0.0,47.0,35.0,FALSE
Feb-09,0.05,46.0,33.0,TRUE
Feb-09,0.0,48.0,34.0,FALSE
Feb-09,0.0,50.0,39.0,FALSE
Feb-09,0.0,54.0,35.0,FALSE
Feb-09,0.0,51.0,33.0,FALSE
Feb-09,0.0,52.0,30.0,FALSE
Feb-09,0.0,55.0,33.0,FALSE
Feb-09,0.07,57.0,43.0,TRUE
Feb-09,0.23,57.0,44.0,TRUE
Feb-09,0.34,48.0,44.0,TRUE
Feb-09,0.25,45.0,32.0,TRUE
Feb-09,0.21,38.0,26.0,TRUE
Feb-09,0.0,47.0,34.0,FALSE
Feb-09,0.0,54.0,38.0,FALSE
Mar-09,0.3,57.0,44.0,TRUE
Mar-09,0.11,57.0,44.0,TRUE
Mar-09,0.24,55.0,42.0,TRUE
Mar-09,0.03,46.0,40.0,TRUE
Mar-09,0.05,45.0,34.0,TRUE
Mar-09,0.0,45.0,28.0,FALSE
Mar-09,0.08,45.0,31.0,TRUE
Mar-09,0.32,40.0,30.0,TRUE
Mar-09,0.34,37.0,31.0,TRUE
Mar-09,0.0,40.0,27.0,FALSE
Mar-09,0.0,44.0,26.0,FALSE
Mar-09,0.0,51.0,29.0,FALSE
Mar-09,0.0,55.0,33.0,FALSE
Mar-09,0.49,45.0,38.0,TRUE
Mar-09,0.69,46.0,33.0,TRUE
Mar-09,0.29,44.0,35.0,TRUE
Mar-09,0.29,46.0,35.0,TRUE
Mar-09,0.0,54.0,38.0,FALSE
Mar-09,0.08,50.0,43.0,TRUE
Mar-09,0.12,56.0,36.0,TRUE
Mar-09,0.0,49.0,29.0,FALSE
Mar-09,0.01,49.0,39.0,TRUE
Mar-09,0.07,46.0,37.0,TRUE
Mar-09,0.01,48.0,40.0,TRUE
Mar-09,0.05,47.0,38.0,TRUE
Mar-09,0.0,52.0,33.0,FALSE
Mar-09,0.0,51.0,41.0,FALSE
Mar-09,0.38,43.0,34.0,TRUE
Mar-09,0.04,50.0,34.0,TRUE
Mar-09,0.0,47.0,38.0,FALSE
Mar-09,0.17,48.0,37.0,TRUE
Apr-09,0.39,46.0,34.0,TRUE
Apr-09,0.92,46.0,39.0,TRUE
Apr-09,0.09,50.0,35.0,TRUE
Apr-09,0.0,57.0,33.0,FALSE
Apr-09,0.0,69.0,40.0,FALSE
Apr-09,0.0,70.0,40.0,FALSE
Apr-09,0.0,66.0,43.0,FALSE
Apr-09,0.0,53.0,44.0,FALSE
Apr-09,0.03,58.0,43.0,TRUE
Apr-09,0.02,50.0,44.0,TRUE
Apr-09,0.06,51.0,44.0,TRUE
Apr-09,0.83,53.0,43.0,TRUE
Apr-09,0.32,48.0,37.0,TRUE
Apr-09,0.01,52.0,37.0,TRUE
Apr-09,0.0,54.0,35.0,FALSE
Apr-09,0.01,60.0,37.0,TRUE
Apr-09,0.25,60.0,43.0,TRUE
Apr-09,0.0,58.0,38.0,FALSE
Apr-09,0.0,68.0,47.0,FALSE
Apr-09,0.0,74.0,47.0,FALSE
Apr-09,0.0,71.0,48.0,FALSE
Apr-09,0.25,53.0,39.0,TRUE
Apr-09,0.06,54.0,37.0,TRUE
Apr-09,0.0,60.0,37.0,FALSE
Apr-09,0.0,53.0,41.0,FALSE
Apr-09,0.0,58.0,40.0,FALSE
Apr-09,0.0,62.0,44.0,FALSE
Apr-09,0.12,54.0,45.0,TRUE
Apr-09,0.0,59.0,44.0,FALSE
Apr-09,0.0,64.0,41.0,FALSE
May-09,0.0,73.0,45.0,FALSE
May-09,0.32,66.0,46.0,TRUE
May-09,0.01,62.0,44.0,TRUE
May-09,0.36,62.0,45.0,TRUE
May-09,0.59,56.0,47.0,TRUE
May-09,0.89,54.0,46.0,TRUE
May-09,0.0,58.0,44.0,FALSE
May-09,0.0,58.0,43.0,FALSE
May-09,0.0,64.0,44.0,FALSE
May-09,0.04,64.0,45.0,TRUE
May-09,0.03,61.0,45.0,TRUE
May-09,0.04,56.0,40.0,TRUE
May-09,0.44,52.0,42.0,TRUE
May-09,0.32,55.0,45.0,TRUE
May-09,0.0,66.0,43.0,FALSE
May-09,0.0,76.0,46.0,FALSE
May-09,0.0,75.0,50.0,FALSE
May-09,0.45,66.0,48.0,TRUE
May-09,0.12,58.0,46.0,TRUE
May-09,0.0,62.0,46.0,FALSE
May-09,0.0,67.0,45.0,FALSE
May-09,0.0,70.0,49.0,FALSE
May-09,0.0,71.0,49.0,FALSE
May-09,0.0,71.0,47.0,FALSE
May-09,0.0,69.0,47.0,FALSE
May-09,0.0,65.0,52.0,FALSE
May-09,0.0,67.0,46.0,FALSE
May-09,0.0,77.0,48.0,FALSE
May-09,0.0,83.0,55.0,FALSE
May-09,0.0,78.0,53.0,FALSE
May-09,0.0,80.0,54.0,FALSE
Jun-09,0.0,82.0,53.0,FALSE
Jun-09,0.0,88.0,61.0,FALSE
Jun-09,0.0,89.0,64.0,FALSE
Jun-09,0.0,91.0,60.0,FALSE
